'АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ "ЦЕНТР ТОВАРИЩЕСТВ СОБСТВЕННИКОВ ЖИЛЬЯ"'|'АНО "ЦЕНТР ТСЖ"'|'432001, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г УЛЬЯНОВСК, ПЕР РОБЕСПЬЕРА, д. Д. 2/79'|'Ульяновская обл, г. Ульяновск, пер. Робеспьера, д. 2/79'|'7325045705'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ВЕРХНИЙ"'|'ВЕРХНИЙ (ЖСК)'|'432010, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. ГОГОЛЯ, д. Д.32, кв. 43'|'Ульяновская обл, г. Ульяновск, ул. Гоголя, д. 32'|'7328021710'|''
'ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ "ВОЛГА"'|'ВОЛГА (ТСЖ)'|'432027, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ УЛЬЯНЫ ГРОМОВОЙ, д. 1'|'Ульяновская обл, г. Ульяновск, ул. Ульяны Громовой, д. 1'|'7325033114'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ДЕКОРАТИВНЫЕ КУЛЬТУРЫ"'|'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ДЕКОРАТИВНЫЕ КУЛЬТУРЫ"'|'432035, Ульяновская область, Г. УЛЬЯНОВСК, ПР-КТ ГАЯ, д. Д.87Б'|'Ульяновская обл, г. Ульяновск, пр-кт. Гая, д. 87Б'|'7326008382'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "СОКОЛ"'|'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "СОКОЛ"'|'432042, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ СЕВАСТОПОЛЬСКАЯ, д. 10'|'Ульяновская обл, г. Ульяновск, ул. Севастопольская, д. 10'|'7327014558'|''
'ЖИЛИЩНЫЙ КООПЕРАТИВ "БУИНСКИЙ"'|'ЖК "БУИНСКИЙ"'|'432002, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, ПЕР. БУИНСКИЙ, д. Д. 16, кв. КВ. 1'|'Ульяновская обл, г. Ульяновск, пер. Буинский, д. 16'|'7325154077'|''
'ЖИЛИЩНЫЙ КООПЕРАТИВ "ВОЛЖСКИЙ"'|'ЖК "ВОЛЖСКИЙ"'|'432029, Ульяновская обл, г Ульяновск, ул Корунковой, д. 11'|'Ульяновская обл, г. Ульяновск, ул. Корунковой, д. 11'|'7327014653'|''
'ПОТРЕБИТЕЛЬСКИЙ    ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ  "АВАНГАРД "'|'ЖСК "АВАНГАРД "'|'432032, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. ПОЛБИНА, д. Д.61, к. ------------------------------, кв. ---------------------------'|'Ульяновская обл, г. Ульяновск, ул. Полбина, д. 61'|'7327015248'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "АВРОРА"'|'ЖСК "Аврора"'|'432049, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. АРТЕМА, д. Д.6, к. ------------, кв. -----------'|'Ульяновская обл, г. Ульяновск, ул. Артема, д. 6'|'7327014371'|''
'ПОТРЕБИТЕЛЬСКИЙ  КООПЕРАТИВ  ЖИЛИЩНО- СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ "АВТОЗАВОДЕЦ"'|'ЖСК "АВТОЗАВОДЕЦ"'|'432034, Ульяновская обл, г Ульяновск, ул Терешковой, д. 12'|'Ульяновская обл, г. Ульяновск, ул. Терешковой, д. 12'|'7327014188'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "АВТОМОБИЛИСТ"'|'ЖСК "АВТОМОБИЛИСТ"'|'432028, Ульяновская обл, г Ульяновск, ул Октябрьская, д. 21А'|'Ульяновская обл, г. Ульяновск, ул. Октябрьская, д. 21А'|'7327014935'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "АРКТИКА"'|'ЖСК "АРКТИКА"'|'432073, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. РЯБИКОВА, д. Д.65, к. ----------------, кв. ------------------'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 65'|'7327014879'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "АСТРЕЯ"'|'ЖСК "АСТРЕЯ"'|'432063, Ульяновская обл, г Ульяновск, пр-кт Академика Филатова, д. 2, кв. 14'|'Ульяновская обл, г. Ульяновск, пр-кт. Академика Филатова, д. 2'|'7328006503'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "АТОМ"'|'ЖСК "АТОМ"'|'432054, Ульяновская область, Г. УЛЬЯНОВСК, УЛ. КАМЫШИНСКАЯ, д. Д.53, к. -----------------, кв. --------------'|'Ульяновская обл, г. Ульяновск, ул. Камышинская, д. 53'|'7327014357'|''
