432000, Ульяновская обл, г. Ульяновск, пер. Кузнецова, д. 5|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛГОРИТМ"""
432000, Ульяновская обл, г. Ульяновск, пер. Пожарный, д. 8|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""СВОЙ ДОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Александра Матросова, д. 10|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КВАРТАЛ"""
432000, Ульяновская обл, г. Ульяновск, ул. Александра Матросова, д. 17|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА ЖИЗНИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Александра Матросова, д. 21|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА ЖИЗНИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Александра Матросова, д. 23|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА ЖИЗНИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Александра Матросова, д. 4|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ОСНОВА"""
432000, Ульяновская обл, г. Ульяновск, ул. Александра Матросова, д. 5/34|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРТКОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 16|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""БАСТИОН"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 18|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОСТАРТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 29|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОСТАРТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 36|"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ЛЕНИНСКОГО РАЙОНА"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 39|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ДЕЛЬТА"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 59|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК КОНСИЛИУМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 61|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК КОНСИЛИУМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Бебеля, д. 63/10|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛФИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 1/17|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МЕГАЛИНК"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 18|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМАШНИЙ МАСТЕР"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 2|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРТКОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 22/93|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УК ""ТИТАН"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 42|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СФЕРА ЖКХ"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 42А|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМ-СТРОЙ"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 4|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМАШНИЙ МАСТЕР"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 5/31|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СОЮЗ"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 5|"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ЛЕНИНСКОГО РАЙОНА"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 6/2|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОВЕРИЕ"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 7|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМАШНИЙ МАСТЕР"""
432000, Ульяновская обл, г. Ульяновск, ул. Гончарова, д. 8/1|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Дворцовая, д. 6|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ТЕПЛОСВЕТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Железной Дивизии, д. 26|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОСТАРТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Железной Дивизии, д. 28|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ТЕПЛОСВЕТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 21|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""НА КАРЛА ЛИБКНЕХТА, 21"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 23|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПЕРСЕЙ"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 25|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 27|"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЦЕНТРАЛЬНЫЙ"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 28/8|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 29/8|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 30|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 32|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СОЮЗ"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 36/6|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МАЯК"""
432000, Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 50|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЦЕНТРАЛЬНАЯ"""
432000, Ульяновская обл, г. Ульяновск, ул. Кузнецова, д. 10А|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА ЖИЗНИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Кузнецова, д. 11|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМ-СТРОЙ"""
432000, Ульяновская обл, г. Ульяновск, ул. Кузнецова, д. 4|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ТЕПЛОСВЕТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Кузнецова, д. 4А|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""СЕРЕБРЯНЫЙ ИСТОЧНИК"""
432000, Ульяновская обл, г. Ульяновск, ул. Кузнецова, д. 5|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕСТИЯ"""
432000, Ульяновская обл, г. Ульяновск, ул. Кузнецова, д. 6|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 101|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 108|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЦЕНТРАЛЬНАЯ"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 109|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМАШНИЙ МАСТЕР"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 122|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ГАЛАКТИКА"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 126|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНАЯ ЖИЛИЩНАЯ КОМПАНИЯ"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 128|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА ЖИЗНИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 130|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ"" ЭКОДОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 144|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 57/24|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МАЯК"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 63/1|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК КОНСИЛИУМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 77|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛФИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 79|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМАШНИЙ МАСТЕР"""
432000, Ульяновская обл, г. Ульяновск, ул. Ленина, д. 99|"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ЛЕНИНСКОГО РАЙОНА"""
432000, Ульяновская обл, г. Ульяновск, ул. Льва Толстого, д. 46|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЦЕНТРАЛЬНАЯ"""
432000, Ульяновская обл, г. Ульяновск, ул. Льва Толстого, д. 85|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ"" ЭКОДОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Льва Толстого, д. 87|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ"" ЭКОДОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Льва Толстого, д. 89|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ"" ЭКОДОМ"""
432000, Ульяновская обл, г. Ульяновск, ул. Минаева, д. 13/6|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРИТЕТ"""
432000, Ульяновская обл, г. Ульяновск, ул. Минаева, д. 15|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СВОБОДНЫЙ ВЫБОР"""
432000, Ульяновская обл, г. Ульяновск, ул. Минаева, д. 48А|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""НА МИНАЕВА"""
432000, Ульяновская обл, г. Ульяновск, ул. Плеханова, д. 8|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА ЖИЗНИ"""
432000, Ульяновская обл, г. Ульяновск, ул. Спасская, д. 16|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""КОШКИН ДОМ"""
432001, Ульяновская обл, г. Ульяновск, пер. Робеспьера, д. 19|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""ДОБРЫЙ СОСЕД"""
432001, Ульяновская обл, г. Ульяновск, пер. Робеспьера, д. 2/79|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""СОДРУЖЕСТВО"""
432001, Ульяновская обл, г. Ульяновск, пер. Яковлева, д. 7|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""ЯКОВЛЕВА"""
432001, Ульяновская обл, г. Ульяновск, ул. Воробьева, д. 38, корп. 1|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МИДЕ"""
432001, Ульяновская обл, г. Ульяновск, ул. Воробьева, д. 38, корп. 2|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МИДЕ"""
432001, Ульяновская обл, г. Ульяновск, ул. Воробьева, д. 63|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК МАРАФЕТ"""
