Ульяновск|1 пер. Воровского|1|4|1-й пер. Воровского, 2-й пер. Воровского, ул. Воровского, ул. Вольная, 1-й Вольный пер., 2-й Вольный пер.
Ульяновск|1 пер. Локомотивный|2|1|1 пер. Локомотивный
Ульяновск|1 пер. Рабочий|13|1|1 пер. Рабочий, дома 9, 10, 11, 12, 13, 14, 2 пер. Рабочий, дома 10, 12, 14, 16
Ульяновск|1 пер. Робеспьера|31||1 пер. Робеспьера
Ульяновск|2 пер. Благодатный|25|2|2 пер. Благодатный, дома 25, 28, 30, 32, 34, 36
Ульяновск|2 пер. Кирова|12|1|2 пер. Кирова
Ульяновск|2 пер. Мира|11||2 пер. Мира
Ульяновск|2 пер. Народный|5|2|1 пер. Народный, 2 пер. Народный, 3 пер. Народный, ул. Самарская, дома 56, 60/17, 62, 64, 66/17, 68
Ульяновск|2 ул МТС|15|1|2 ул. МТС
Ульяновск|3 пер. Баумана|2|2|3 пер. Баумана, дома 2, 4, ул. Маяковского, дома 9, 7
Ульяновск|б-р Архитекторов|9|8|б-р Архитекторов, дома 9, 9/1, 9/2
Ульяновск|б-р Архитекторов|11|10|б-р Архитекторов, дома 11, 11/1, 11/2
Ульяновск|б-р Архитекторов|12|3|б-р Архитекторов, дома 10/4, 12, 14
Ульяновск|б-р Архитекторов|13|10|б-р Архитекторов, дома 13, 13/1, 13/2
Ульяновск|б-р Архитекторов|15|10|б-р Архитекторов, дома 15, 15/1, 15/2
Ульяновск|б-р Архитекторов|16|3|б-р Архитекторов, дома 16, 18, 20
Ульяновск|б-р Архитекторов|17|3|б-р Архитекторов, дом 17
Ульяновск|б-р Архитекторов|22|3|б-р Архитекторов, дома 22, 24, 26
Ульяновск|б-р Архитекторов|28|3|б-р Архитекторов, дом 28, ул. Скочилова, дома 23, 25
Ульяновск|б-р Новосондецкий|17|1|б-р Новосондецкий, дом 17
Ульяновск|Западный бульвар|1|4|Западный Бульвар, дом 1, Московское шоссе, дома 33, 37, пр-д Полтавский, дом 5
Ульяновск|Западный бульвар|18а|5|Западный Бульвар, дома 16, 16а, 18, 18а, ул. Достоевского, дома 13, 13а, 15, 17, 19, 20, 24
Ульяновск|Западный бульвар|28|4|Западный Бульвар, дома 24, 26, 28, пер. Октябрьский, дома 13, 14, 15а, 17а, ул. Автозаводская, дома 53, 53а, 55
Ульяновск|Московское шоссе|1ж|1|Московское шоссе, дом 1ж, к. 1
Ульяновск|Московское шоссе|1ж|1|Московское шоссе, дом 1ж, к. 2
Ульяновск|Московское шоссе|73|5|Московское шоссе, дома 67, 69, 71, ул. Терешковой, дом 1, 1а
Ульяновск|Московское шоссе|77|6|Московское шоссе, дома 77, 79, 81, ул. Полбина, дом 61а
Ульяновск|п. Ленинский пер. Удачный|2 А|5|п. Ленинский, пер. Удачный 2 А
Ульяновск|п. Ленинский пересечение ул. Светлая и ул. Рябиновая||3|п. Ленинский, ул. Светлая и ул. Рябиновая
Ульяновск|п. Ленинский ул. Лесная|41|3|п. Ленинский ул. Лесная
Ульяновск|п. Ленинский ул. Лесная|57|3|п. Ленинский ул. Лесная
Ульяновск|п. Ленинский ул. Лесная|69|3|п. Ленинский ул. Лесная
Ульяновск|п. Ленинский ул. Фестивальная|106|3|п. Ленинский ул. Фестивальная
Ульяновск|п. Ленинский ул. Фестивальная|96|3|п. Ленинский ул. Фестивальная
